"Title","Platform","Chipset","Edition","Release","Publisher","Box Size","Genre","WHDload Installed","WHDload does not exist","Tested","Complete","Copy Protection","Paid","Sold","Hall of Light Rarity","Top 50 Rank","Top 50 Comment","Lemon Rating"
"Space Quest: Chapter I - The Sarien Encounter","Amiga","","Original","1987","Sierra On-Line","Sierra","Adventure","Yes","No","Yes, Not Working (disk has read/write error)","Yes","None","","","","","",""
"Space Ranger","Amiga","OCS","Original","1987","Mastertronic Group Ltd.","Jewel Case","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Space Rogue","Amiga","OCS","Original","1990","ORIGIN","Tall","Action Strategy","Yes","No","Yes, Working","Yes","","","","","","",""
"Spaceward Ho!","Amiga","OCS","Original","1994","New World Computing, Inc.","Big Box","Strategy","No","Yes","Yes, Booting not tested further","Yes","","","","","","",""
"Special Forces","Amiga","OCS","Original","1992","MicroProse","Big Box","Action, Strategy","Yes","No","","Yes","","","","","","",""
"Speedball","Amiga","","Original","1988","Image Works","Mid size","Action, Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Speedball 2: Brutal Deluxe","Amiga","","Original","1990","Image Works","Mid size","Action, Sports","Yes","No","Yes, Working, some graphical issues","Yes, one extra ""coaching manual""","Disk","","","","","",""
"Spell Bound","Amiga","","Original","1990","Psyclapse","Mid size","Action","Yes","No","Yes, Working","Yes, two disks","Disk","","","","","",""
"Spellbreaker","Amiga","OCS","Original","1986","Infocom, Inc.","Custom","Adventure","No","Yes","Yes, Working","Maybe (might be missing some documenation like solution)","None","","","","","",""
"Speris Legacy","Amiga","AGA","Original","1995","Ocean / Team 17","Big Box","Role-Playing (RPG)","Yes","No","Yes, Not Working (crashes shortly after game starts)","Yes","Code Booklet","","","","","",""
"Spherical","Amiga","","Original","1989","Rainbow Arts","Mid Size","Action, Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Spike In Transylvania","Amiga","","Original","1991","Codemasters","Small cardboard","Action Adventure","Yes","No","Yes, Working","Yes","Disk","103 (99+(79/19))","","","","",""
"Spindizzy Worlds","Amiga","OCS","Original","1990","Electric Dreams","Mid Size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Spirit of Excalibur","Amiga","OCS","Original","1990","Virgin","Big Box","Strategy","No","Yes","Yes, Not fully working disk 1 has read/write error","Yes","","145 (100+45)","","","","",""
"Spoils Of War","Amiga","OCS","Original","1992","Internecine","Big Box","Strategy","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Spot","Amiga","","Original","1991","Virgin","Small cardboard","Puzzle","Yes","No","Yes, Not Working (software error - taks held Finish ALL disk activity Select CANCEL to reset/debug)","Yes","","63 (£4,50+£0,50)","","","","",""
"Spy Vs Spy 3: Arctic Antics","Amiga","OCS","Original","1989","Wicked Software","Jewel Case","Duel","Yes","No","Yes, Working","Yes","Disk","35 (19+(65/4)","","","","",""
"Spy Who Loved Me, The","Amiga","OCS","Original","1990","Domark","Mid size","Racing","Yes","No","Yes, Working","Yes","Disk","123 (119+(79/19))","","","","",""
"Star Breaker","Amiga","","Original","1989","ARC","","Shooter","No","Yes","","Yes","","","","","","",""
"Star Command","Amiga","OCS","Original","1989","SSI","Tall","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Star Control","Amiga","OCS","Original","1990","Accolade","Big Box","Action Strategy","Yes","No","Yes, Working","Yes, but manual in German, game in english","Code Wheel","","","","","",""
"Star Crusader","Amiga","AGA","Original","1996","GameTek","Big Box","Shooter","Yes","No","Yes, Working","Yes","None","84 (£6,26+£0,50)","","","","",""
"Star Goose!","Amiga","OCS","Original","1988","Logotron Ltd","Custom","Action","Yes","No","Yes, Not Working","Yes","Disk","","","","","",""
"Star Trash","Amiga","","Original","1990","Rainbow Arts","Mid Size","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Star Trek: 25th Anniversary","Amiga","AGA","Original","1994","Interplay Productions Ltd.","Big Box","Adventure","Yes","No","Yes, Disks look ok, but can't install","Maybe (might be missing technical instructions specific to Amiga version","Manual ?","","","","","",""
"Starball","Amiga","OCS","Original","1988","Rainbow Arts","Custom","Action","Yes","No","Yes, Not fully working stops loading on disk 2","Yes","Disk","","","","","",""
"Stardust","Amiga","","Original","1993","Bloodhouse Ltd.","Custom","Action","Yes","No","","Yes","","","","","","",""
"Starflight","Amiga","","Original","1989","Electronic Arts","Mid Size","Simulation, Strategy","No","Yes","","Yes","Code Wheel","","","","","",""
"Starglider","Amiga","OCS","Original","1987","Rainbird","Tall","Action, Simulation","Yes","No","Yes, Working","Yes","None","","","","","",""
"Starglider 2","Amiga","OCS","Original","1988","Rainbird","Mid Size","Shooter","Yes","No","","Yes","","","","","","",""
"Starlord","Amiga","OCS","Original","1994","MicroProse","Big Box","Simulation, Strategy","Yes","No","","Yes","","","","","","",""
"StarRay","Amiga","","Original","1988","Logotron","Mid Size","Shooter","Yes","No","Yes, Working","Yes","Disk","70 (£5,07+£0,50)","","","","",""
"Steel Empire","Amiga","OCS","Original","1992","Millennium","Big Box","Action Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Steigar","Amiga","","Original","1989","Screen 7","Mid Size","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Stellar Crusade","Amiga","OCS","Original","1989","SSI","Tall","Strategy","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"Steve Davis World Snooker","Amiga","","Original","1989","Artworx Software Co, Inc.","Mid Size","Sports","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Storm Across Europe","Amiga","OCS","Original","1990","SSI","Tall","Strategy","No","Yes","Yes, Not Working (read error)","Yes","","105 (56+49)","","","","",""
"Storm Master","Amiga","OCS","Original","1992","Silmarils","Big Box","Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Stratego","Amiga","OCS","Original","1991","Accolade","Big Box","Strategy","Yes","No","Yes, Not fully working (Error message can only run on PAL)","Yes","Code Wheel","106 (56+50)","","","","",""
"Street Sports Basketball","Amiga","","Original","1988","Epyx, Inc.","Tall","Sports","Yes","No","Yes, Working","Yes","None","109 (49+60)","","","","",""
"Strider","Amiga","OCS","Original","1989","U.S. Gold","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","55 (40+15)","","","","",""
"Strider 2","Amiga","OCS","Original","1990","U.S. Gold","","Action","Yes","No","","","","","","","","",""
"Strike Fleet","Amiga","","Original","1991","Electronic Arts","Big Box","Simulation, Strategy","No","Yes","","Yes","","","","","","",""
"Strip Poker II","Amiga","OCS","Original","1988","Artworx Software Co, Inc.","Big Box","Strategy","Yes","No","Yes, Working","Yes, Also inclueds demo disk","Disk","","","","","",""
"Strip Poker: A Sizzling Game Of Chance","Amiga","","Original","1986","Kingsoft","Small Jewelcase","games","Yes","No","Yes, Not Working (read/write error)","Yes","Disk","","","","","",""
"Stryx","Amiga","","Original","1989","Psyclapse","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Stunt Car Racer","Amiga","OCS","Original","1989","MicroStyle","Mid size","Racing","Yes","No","Yes, Working","Yes","Disk","210 (£16,34+£0,50)","","","","",""
"Subbuteo","Amiga","OCS","Original","1990","Electronic Zoo","Mid size","Sports, Strategy","Yes","No","Yes, Working","Yes, two disks","Disk","","","","","",""
"Suburban Commando","Amiga","OCS","Original","1993","Alternative Software Ltd.","Big Box","Action","Yes","No","","Yes","Disk","","","","","",""
"Subwar 2050","Amiga","AGA","Original","1994","MicroProse","Big Box","Simulation","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Suicide Mission","Amiga","OCS","Original","1988","Prism Leisure","Small Jewelcase","Shooter","No","Yes","Yes, Not Working (read error)","Yes","Disk","","","Extremely Rare","","",""
"Summer Camp","Amiga","","Original","1993","Black Legend","Mid Size","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Summer Olympiad","Amiga","OCS","Original","1988","Tynesoft","Jewel Case","Sports","Yes","No","Yes, Working","Yes, but manual in German","Disk","","","","","",""
"Super Cars II","Amiga","","Original","1991","Gremlin","Mid size","Racing","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Super Hang-On","Amiga","","Original","1988","Electric Dreams","Custom","Racing","Yes","No","Yes, Working","Yes, 3 set of disks","Disk","","","","","",""
"Super Methane Bros","Amiga","OCS","Original","1994","Apache Software Limited","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Super Monaco GP","Amiga","OCS","Original","1991","U.S. Gold","Mid Size","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Super Skidmarks","Amiga","OCS","Original","1995","Guildhall Leisure Services Ltd.","Big Box","Racing","Yes","No","","No, missing manual","","","","","","",""
"Super Space Invaders","Amiga","OCS","Original","1991","Domark","Big Box","Shooter","No","No","Yes, Working","Yes","Disk","221 (£10+£7,69)","","","","",""
"Super Stardust","Amiga","AGA","Original","1994","Team17","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Super Street Fighter II","Amiga","AGA","Original","1995","U.S. Gold","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Super Tetris","Amiga","OCS","Original","1992","Spectrum Holobyte, Inc.","Big Box","Strategy","Yes","No","Yes, Not Working (both disks has validation errors)","Yes, two disks","Disk","","","","","",""
"Supercars","Amiga","","Original","1990","Gremlin","Mid size","Action, Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Superfrog","Amiga","","Original","1993","Team17","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Superleague Soccer","Amiga","OCS","Original","1989","Impressions","Mid Size","Simulation","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Supremacy: Your Will Be Done","Amiga","OCS","Original","1990","Virgin","Big Box","Strategy","Yes","No","Yes, Working","Yes, 3 set of disks","Manual","","","","","",""
"Suspicious Cargo","Amiga","","Original","1991","Gremlin","Big Box","Adventure","Yes","No","","Yes","","","","","","",""
"Sword","Amiga","OCS","Original","1998","Titan","Custom","Platform","Yes","No","Yes, Working","Yes","None","107 (79+(56/2))","","","","",""
"Sword of Aragon","Amiga","OCS","Original","1990","SSI","Tall","Strategy","No","Yes","Yes, Working","Yes, two disks","Manual","70 (27+43)","","","","",""
"Sword of Sodan","Amiga","","Original","1989","Discovery Software International, Inc.","Custom","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Swords of Twilight","Amiga","","Original","1989","Electronic Arts","Mid Size","Action, Role-Playing (RPG)","Yes","No","","Yes, but manual in German","","","","","","",""
"Syndicate","Amiga","","Original","1993","Electronic Arts","Big Box","Action, Strategy","Yes","No","","Yes","","","","","","",""
"T-zer0","Amiga","AGA","Original","1999","PXL","Jewel Case","Shooter","No","No","No, Cd required","Yes","Disk","140 (110+30)","","","","",""
"Tactical Manager","Amiga","OCS","Original","1994","Black Legend","Big Box","Sports, Strategy","No","Yes","","Yes","","","","","","",""
"Tactical Manager Italia","Amiga","OCS","Original","1994","Black Legend","Big Box","Simulation, Sports","No","Yes","","Yes","","","","","","",""
"Taekwondo","Amiga","","Original","1987","Anco","Small Jewelcase","Fighting","Yes","No","Yes, Not Working","Yes","Disk","","","Extremely Rare","","",""
"Tales of the Unknown: Volume I - The Bard's Tale","Amiga","OCS","Original","1986","Electronic Arts","Custom","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","None","","","","","",""
"Tanks Furry","Amiga","OCS","Original","2016","","DVD Case","Duel","No","Yes","Yes, Working","Yes","None","","","","","",""
"Team Suzuki","Amiga","","Original","1991","Gremlin","Mid Size","Racing","Yes","No","Yes, Working","Yes","Manual","63 (£4,50+£0,50)","","","","",""
"Team Yankee","Amiga","OCS","Original","1990","Empire","Big Box","Simulation, Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Teenage Mutant Ninja Turtles","Amiga","OCS","Original","1990","Ultra Software Corporation","Mid Size","Action","Yes","No","","Yes","Disk","","","","","",""
"Tennis Cup","Amiga","OCS","Original","1989","Loriciel","Custom","Sports","No","No","Yes, Not Working (stops loading on black screen)","Yes","Disk","34","","","","",""
"Terran Envoy","Amiga","OCS","Original","1990","Mindscape","Big Box","Strategy","No","No","","Yes","","89 (49+40)","","","","",""
"Terrorpods","Amiga","OCS","Original","1987","Psygnosis","Custom","Action, Strategy","Yes","No","Yes, Working","No, Box says Atari ST and game disk for both Amiga and Atari included, box also missing part of inner box","Disk","","","","","",""
"Tetra Quest","Amiga","OCS","Original","1988","MicroDeal","Big Box","Puzzle","Yes","No","","Yes","","89 (40+49)","","","","",""
"Tetris","Amiga","OCS","Original","1987","Mirrorsoft","Jewel Case","Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Thai Boxing","Amiga","OCS","Original","1987","Anco","Small Jewelcase","Fighting","No","Yes","Yes, Not Working (software failiure)","Yes","Disk","","","","","",""
"Theatre of Death","Amiga","OCS","Original","1993","Psygnosis","Psygnosis Big","Action, Strategy","Yes","No","Yes, Not fully working scrambled graphics on copy protection screen","Yes","Manual","","","","","",""
"Their Finest Hour: The Battle of Britain","Amiga","OCS","Original","1990","Lucasfilm Games","Big Box","Action, Simulation","Yes","No","","Yes","Code Wheel","","","","","",""
"Theme Park","Amiga","","Original","1994","Electronic Arts","Big Box","Strategy","Yes","No","","Yes","","","","","","",""
"Theme Park Mystery","Amiga","OCS","Original","1990","Image Works","Mid Size","Adventure","Yes","No","","Yes","","","","","","",""
"Thexder","Amiga","","Original","1987","Sierra On-Line","Sierra","Action","Yes","No","Yes, Not Working (stuck on white screen)","No, missing manual","Disk","","","","","",""
"The Three Stooges","Amiga","","Original","1987","Cinemaware","Tall","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Thunderhawk AH-73M","Amiga","","Original","1991","Core Design","Big Box","Action, Simulation","Yes","No","","Yes, 2 set of disks","","","","","","",""
"ThunderJaws","Amiga","OCS","Original","1991","Domark","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"ThunderStrike","Amiga","OCS","Original","1990","Millennium","Mid size","Shooter","Yes","No","Yes, Working","Yes, two disks","Disk","","","","","",""
"Tiger Road","Amiga","","Original","1989","Capcom Co., Ltd.","Custom","Fighting","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Time and Magik: The Trilogy","Amiga","OCS","Original","1988","Datasoft, Inc.","Tall","Adventure","Yes","No","","Yes","","","","","","",""
"Time Lock","Amiga","OCS","Original","1993","Boeder","Custom","Puzzle","Yes","No","No, Shrink wrapped","Yes, new","","","","","","",""
"Times Of Lore","Amiga","OCS","Original","1988","ORIGIN","Tall","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","","","","","","",""
"Tintin On The Moon","Amiga","","Original","1989","Infogrames","Mid Size","Action","Yes","No","","Yes","","","","","","",""
"Tiny Skweeks","Amiga","OCS","Original","1992","Loriciel","Big Box","Puzzle","Yes","No","Yes, Not fully working crashing when intro is palyoing","Yes","","","","","","",""
"Titanic Blinky","Amiga","","Original","1991","Zeppelin","Small cardboard","Platform","Yes","No","Yes, Working","Yes","Disk","53 (£3,75+£0,50)","","","","",""
"Titano","Amiga","","Original","1990","Magic Soft","Mid Size","Puzzle","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Titus the Fox: To Marrakech and Back","Amiga","OCS","Original","1992","Titus France SA","Mid Size","Action","Yes","No","","Yes","Disk","","","","","",""
"Toki","Amiga","","Original","1991","Ocean","Mid size","Platform","Yes","No","","Yes","","203 (199+(79/19))","","","","",""
"Tom & Jerry","Amiga","OCS","Original","1989","Magic Bytes","Mid Size","Action","No","Yes","Yes, Not Working (stops loading after intro)","Yes","Disk","","","","","",""
"Top Banana","Amiga","OCS","Original","1992","Hex","Custom","Action","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Top Gear 2","Amiga","","Original","1994","Gremlin","Big Box","Action, Racing","Yes","No","","Yes","","","","","","",""
"Torvak the Warrior","Amiga","","Original","1990","Core Design","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Touring Car Challenge","Amiga","OCS","Original","1995","OMT","Big Box","Racing","No","Yes","","Yes","","","","","","",""
"Tournament Golf","Amiga","OCS","Original","1990","Elite Systems Ltd.","Mid size","Sports","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Tower of Babel","Amiga","OCS","Original","1990","Rainbird","Mid size","Action, Strategy","Yes","No","","Yes","Manual","","","","","",""
"Toyota Celica GT Rally","Amiga","","Original","1990","Gremlin","Mid size","Racing","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Tracker","Amiga","OCS","Original","1988","Rainbird","Tall","Action Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Tracksuit Manager","Amiga","OCS","Original","1988","Goliath Games","Big Box","Sports, Strategy","No","Yes","","Yes","","","","","","",""
"Trained Assassin","Amiga","","Original","1989","Digital Magic Software Ltd.","Mid Size","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Transarctica","Amiga","OCS","Original","1993","Silmarils","Big Box","Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Treasure Island Dizzy","Amiga","","Original","1989","Codemasters","Jewel Case","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Treasure Trap","Amiga","OCS","Original","1990","Electronic Zoo","Mid Size","Action","Yes","No","Yes, Working","Yes, 3 disks and IBM PC disk","Disk","","","","","",""
"Treasures of the Savage Frontier","Amiga","","Original","1992","SSI","SSI","Role-Playing (RPG)","Yes","No","Yes, Not Working (disk 1 has read/wrike error)","Yes","","","","","","",""
"Treble Champions","Amiga","OCS","Original","1990","Challenge Software","Small Jewelcase","Sports","No","Yes","Yes, Working","Yes","Disk","85 (49+36)","","","","",""
"Triple X","Amiga","","Original","1989","Axxiom","Mid Size","Puzzle","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Trivia Trove","Amiga","OCS","Original","1987","Anco","Small Jewelcase","games","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Trolls","Amiga","OCS","Original","1992","Flair","Big Box","Action","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Trump Castle II: The Ultimate Casino Gambling Simulation","Amiga","OCS","Original","1991","Capstone Software","Big Box","Simulation","No","Yes","Yes, Not Working (read error)","Yes","","","","","","",""
"Turbo Out Run","Amiga","OCS","Original","1990","U.S. Gold","Mid size","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Turn It II","Amiga","","Original","1991","Talesoft","Mid Size","Puzzle","No","Yes","Yes, Working","Yes","Manual","67 (49+(53/3))","","","","",""
"Turrican II: The Final Fight","Amiga","","Original","1991","Rainbow Arts","Mid size","Shooter","Yes","No","Yes, Working","Yes","Disk","234 (204-30)","","","","",""
"Turtle Table Tennis Simulation","Amiga","","Original","1989","Starbyte Software","Mid Size","Sports","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Tusker","Amiga","OCS","Original","1990","System 3 Software Ltd.","Mid Size","Action","Yes","No","","Yes","","","","","","",""
"TV Sports Boxing","Amiga","OCS","Original","1991","Mindscape","Big Box","Action, Sports, Strategy","Yes","No","Yes, Working","Yes","None","","","","","",""
"TV Sports: Basketball","Amiga","","Original","1990","Cinemaware","Mid size","Sports","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"TV Sports: Football","Amiga","OCS","Original","1988","Cinemaware","Mid Size","Sports","Yes","No","","Yes, 4 sets of disks (2 set stores elsewhere)","Disk","","","","","",""
"Twylyte","Amiga","OCS","Original","1988","Wicked Software","Small cardboard","Shooter","Yes","No","Yes, Working","Yes","Disk","89 (40+49)","","","","",""
"Typhoon","Amiga","","Original","1987","Kingsoft","Small Jewelcase","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Typhoon Thompson in Search for the Sea Child","Amiga","","Original","1990","Brøderbund","Mid Size","Shooter","Yes","No","Yes, Not Working (Load failed, please try again)","Yes","","","","","","",""
"UFO: Enemy Unknown","Amiga","OCS","Original","1994","MicroProse","Big Box","Strategy","Yes","No","","Yes, two set of disks","","","","","","",""
"Ultima III: Exodus","Amiga","OCS","Original","1986","ORIGIN","Custom","Role-Playing (RPG)","Yes","No","","Yes, cloth map included","","","","Extremely Rare","","",""
"Ultima IV: Quest Of The Avatar","Amiga","OCS","Original","1988","ORIGIN","Custom","Role-Playing (RPG)","Yes","No","","Yes, cloth map included","","459 (399+60)","","","","",""
"Ultima V: Warriors of Destiny","Amiga","OCS","Original","1990","ORIGIN","Custom","Role-Playing (RPG)","Yes","No","","Yes, cloth map and coin included","","","","","","",""
"Ultima VI: The False Prophet","Amiga","OCS","Original","1992","ORIGIN","Big Box","Role-Playing (RPG)","Yes","No","","Yes, Gemstone included and map","","","","","","",""
"The Ultimate Ride","Amiga","OCS","Original","1990","Mindscape","Mid Size","Racing","Yes","No","Yes, Not Working (stops loading on black screen)","Yes","","","","","","",""
"UMS: The Universal Military Simulator","Amiga","OCS","Original","1988","Rainbird","Custom","Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Uninvited","Amiga","OCS","Original","1987","Mindscape","Custom","Adventure","Yes","No","Yes, Not Working (read error)","Yes","","151 (124+(80/3))","","","","",""
"Universe","Amiga","","Original","1994","Core Design","Big Box","Adventure","Yes","No","","Yes","","","","","","",""
"Universe 3","Amiga","OCS","Original","1990","Impressions","Mid size","Role-Playing (RPG)","Yes","No","Yes, Working","No, Cover of manual is missing","Manual","330 (€29,99)","","","","",""
"Unreal","Amiga","OCS","Original","1990","Ubi Soft","Mid Size","Action Adventure","No","No","Yes, Working","Yes","Disk","261 (191+70)","","","","",""
"The Untouchables","Amiga","","Original","1990","Ocean","Mid Size","Action","Yes","No","","Yes, but both disks has tear on labels","","69 (£9,86/3 + £6,80/3)","","","","",""
"Uridium 2","Amiga","OCS","Original","1993","Renegade","Big Box","Shooter","Yes","No","Yes, Working","Yes","Code Sheet","","","","","",""
"USS John Young","Amiga","OCS","Original","1990","Magic Bytes","Mid Size","Simulation","Yes","No","Yes, Not Working (stops loading after intro)","Yes","","","","","","",""
"Utopia: The Creation of a Nation","Amiga","","Original","1992","Gremlin","Big Box","Strategy","Yes","No","","Yes","","","","","","",""
"Vader","Amiga","OCS","Original","1987","Softgang","Small Jewelcase","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Valhala before the war","Amiga","OCS","Original","1994","Vulcan Software Limited","Big Box","Adventure","Yes","No","","Yes","","94 (£5,35+£2,13)","","","","",""
"Valhalla and the Lord of Infinity","Amiga","OCS","Original","1994","Vulcan Software Limited","Big Box","Adventure","Yes","No","","Yes","","","","","","",""
"Vaxine","Amiga","OCS","Original","1990","U.S. Gold","Mid Size","Shooter","Yes","No","Yes, Working","Yes","Code Wheel","174 (8.99+4.90)","","","","",""
"Vegas Gambler","Amiga","OCS","Original","1989","California Dreams","Custom","games","Yes","No","No, Shrink wrapped","Yes, new","","","","","","",""
"Vengeance of Excalibur","Amiga","OCS","Original","1992","Virgin","Big Box","Role-Playing (RPG), Strategy","No","Yes","Yes, Not fully working stops loading after intro screen","Yes","","","","","","",""
"Victory Road: The Pathway to Fear","Amiga","OCS","Original","1989","Imagine","Custom","Shooter","Yes","No","Yes, Working","Yes","Disk","","","Extremely Rare","","",""
"Vikings: Fields of Conquest - Kingdoms of England II","Amiga","OCS","Original","1992","Krisalis","Big Box","Strategy","No","Yes","Yes, Not fully working stop loading after a while","Yes, but manual in French, German and italian, but game is english, also two disks","","","","","","",""
"Vital Light","Amiga","OCS","Original","1994","Millennium","Big Box","Action, Strategy","Yes","No","Yes, Not Working (stops loading on black sceen)","Yes, Also demo of Mr Blobby","Disk","","","","","",""
"Viz: The Game","Amiga","OCS","Original","1991","Virgin","Mid size","Action","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"Volfied","Amiga","OCS","Original","1991","Empire","Mid Size","Reaction & Navigation","Yes","No","Yes, Working","Yes","Code Sheet","203 (199+(79/19)","","","","",""
"Voyager","Amiga","","Original","1989","Ocean","Mid size","Action","Yes","No","","Yes, with audio tape, two set of disks","","","","","","",""
"Voyages Of Discovery","Amiga","OCS","Original","1994","Black Legend","Big Box","Strategy","Yes","No","Yes, Not Working (disk is unreadable)","Yes","","","","","","",""
"Vroom","Amiga","OCS","Original","1992","Lankhor","Mid size","Action, Simulation, Sports, Racing","Yes","No","","Yes","Disk","","","","","",""
"Vulcan","Amiga","OCS","Original","1989","CCS","Custom","Strategy","No","Yes","","Yes","","","","","","",""
"Wacky Darts","Amiga","","Original","1991","Codemasters","Jewel Case","Sports","Yes","No","Yes, Not Working","Yes","Disk","53 (£3,75+£0,50)","","","","",""
"Wacky Races","Amiga","OCS","Original","1991","Hi-Tec Software Ltd.","Custom","Racing","Yes","No","Yes, Working","Yes","Disk","94 (£5,35+£2,13) 1ex 2 - 63 (59+(79/19))","","","","",""
"Walker","Amiga","OCS","Original","1993","Psygnosis","Psygnosis Big","Action","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"The Wall","Amiga","OCS","Original","1988","Rainbow Arts","Custom","Action","Yes","No","Yes, Working","Yes, (but might miss manual)","Disk","","","","","",""
"Wall Street Editor","Amiga","OCS","Original","1989","Lifetimes","Custom","Strategy, Utility","No","Yes","","Yes","","","","Extremely Rare","","",""
"Wall Street Wizard","Amiga","OCS","Original","1988","Lifetimes","Custom","Strategy","No","Yes","","Yes","","","","","","",""
"Wanted","Amiga","","Original","1988","Infogrames","Mid Size","Action","Yes","No","","Yes","","","","","","",""
"War Zone","Amiga","","Original","1991","Core Design","Mid size","Shooter","Yes","No","Yes, Working","Yes, two disks and two manuals","Disk","140 (£10,70+£0,50)","","","","",""
"Wargame Construction Set","Amiga","OCS","Original","1990","SSI","Tall","Simulation, Strategy","No","Yes","Yes, Working","Yes","Manual","","","Extremely Rare","","",""
"Warlock: The Avenger","Amiga","OCS","Original","1991","Millennium","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Warp","Amiga","OCS","Original","0989","Thalion","Mid Size","Shooter","No","No","Yes, Working","Yes, (but manual looks photocopied)","Disk","61","","","","",""
"Warriors Of Releyne","Amiga","OCS","Original","1992","Impressions","Big Box","Strategy","No","Yes","Yes, Working","Yes, two set of disks","","107 (89+(53/3)","","","","",""
"Waterloo","Amiga","OCS","Original","1989","PSS","Mid Size","Simulation, Strategy","Yes","No","","Yes","","","","","","",""
"Waxworks","Amiga","OCS","Original","1993","Accolade","Big Box","Adventure","Yes","No","Yes, Working","Yes","Code Wheel","","","","","",""
"Wayne Gretzky Hockey","Amiga","OCS","Original","1989","Bethesda","Big Box","Sports","Yes","No","","Yes","","119 (59+60)","","","","",""
"Welltris","Amiga","OCS","Original","1990","Infogrames","Custom","Strategy","Yes","No","Yes, Working","Yes","Manual","94 (£5,35+£2,13)","","","","",""
"Western Games","Amiga","OCS","Original","1987","Magic Bytes","Custom","Multi","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Whale's Voyage","Amiga","OCS","Original","1993","Neo","Big Box","Role-Playing (RPG), Strategy","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"Where in the World is Carmen Sandiego?","Amiga","OCS","Original","1989","Brøderbund Software, Inc.","Big Box","Educational","Yes","No","No, Shrink wrapped","Yes, new","","","","","","",""
"Wicked","Amiga","","Original","1989","Electric Dreams","Mid size","Action, Strategy","Yes","No","Yes, Not Working (stays on white screen and no disk activity)","Yes","","","","","","",""
"Wierd Dreams","Amiga","OCS","Original","1989","Rainbird","Mid Size","Action Adventure","Yes","No","","Yes","","","","","","",""
"Wild Wheels","Amiga","","Original","1991","Ocean","Mid Size","Action, Racing","Yes","No","","Yes","","","","","","",""
